"Cycle,""Time (minutes)"",""Distance (mi)"",""MaximumSpeed"",""Average Speed (mph)"",""AverageDrivingSpeed"",""Positive Kinetic Energy (ft/sec2)"",""Kinetic Intensity (1/mi)"",""Stops (#)"""
"EPA Inspection and Maintenance (IM) 240 (Light-Duty),""4.00"",""1.96"",""56.7"",""29.3"",""30.8"",""1.33"",""1.0"",""2"""
"CARB Heavy Heavy-Duty Diesel Truck (HHDDT) Creep Segment,""4.23"",""0.12"",""8.20"",""1.76"",""3.00"",""0.43"",""24.93"",""3"""
"Arterial Segment of the Transit Coach Operating Duty Cycle,""4.5"",""1.96"",""40.0"",""26.0"",""29.7"",""1.33"",""1.29"",""4"""
"Commuter Segment of the Transit Coach Operating Duty Cycle,""5.17"",""4.0"",""55.0"",""46.3"",""49.8"",""0.31"",""0.14"",""1"""
"Central Business District (CBD) Segment of the Transit Coach Operating Duty Cycle,""9.35"",""2.05"",""20.00"",""13.13"",""15.94"",""1.12"",""3.97"",""14"""
"EPA US06 Supplemental Federal Test Procedure (FTP) Driving Schedule (Light-Duty),""9.93"",""8.01"",""80.3"",""48.3"",""51.9"",""1.38"",""0.44"",""5"""
"New York City Cycle (NYCC-LD) (Light-Duty),""9.97"",""1.18"",""27.7"",""7.1"",""11.4"",""2.03"",""8.3"",""10"""
"New York Bus Cycle (NY Bus),""10.00"",""0.61"",""30.8"",""3.7"",""10.7"",""2.5"",""11.07"",""11"""
"CARB Heavy Heavy-Duty Diesel Truck (HHDDT) Transient Segment,""11.13"",""2.85"",""47.50"",""15.36"",""18.20"",""0.98"",""1.38"",""4"""
"EPA Highway Fuel Economy Test (Light-Duty),""12.75"",""10.26"",""59.9"",""48.2"",""48.6"",""0.46"",""0.22"",""1"""
"West Virginia University (WVU) 5-Peak Cycle,""15.00"",""5.01"",""40.0"",""20.0"",""24.5"",""0.39"",""0.51"",""5"""
"NREL Refuse Truck Cycle (Miami-Dade),""15.02"",""1.94"",""52.77"",""7.74"",""17.57"",""1.39"",""1.31"",""20"""
"New York Bus Composite Cycle (NY Comp),""17.15"",""2.51"",""36.0"",""8.8"",""13.1"",""1.51"",""4.3"",""20"""
"Urban Dynamometer Driving Schedule for Heavy-Duty Vehicles (UDDS HD),""17.68"",""5.55"",""58.00"",""18.84"",""28.23"",""0.90"",""0.61"",""14"""
"Manhattan Bus Cycle 10Hz,""18.15"",""2.07"",""25.40"",""6.83"",""10.67"",""0.19"",""9.14"",""20"""
"NREL Port Drayage Near Dock Cycle (California),""21.03"",""1.17"",""30.98"",""3.34"",""10.61"",""0.96"",""3.79"",""5"""
"NREL Port Drayage Creep Queue Cycle (California),""22.18"",""0.26"",""12.46"",""0.70"",""5.20"",""0.65"",""15.89"",""6"""
"EPA Federal Test Procedure (FTP)-72 [also known as Urban Dynamometer Driving Schedule                                     (UDDS)-LD and as LA-4] (Light-Duty),""22.87"",""7.45"",""56.7"",""19.5"",""24.1"",""1.15"",""1.28"",""17"""
"California Unified Cycle (UC)/LA92 Cycle (Light-Duty),""23.92"",""9.82"",""67.2"",""24.6"",""29.4"",""1.49"",""0.96"",""16"""
"NREL Port Drayage Local Cycle (California),""23.95"",""7.12"",""57.90"",""17.85"",""28.53"",""0.92"",""0.69"",""9"""
"City Suburban Heavy Vehicle Cycle (CSHVC),""28.33"",""6.68"",""43.8"",""14.1"",""18.4"",""1.12"",""1.79"",""13"""
"Braunschweig City Driving Cycle,""29.0"",""6.76"",""36.2"",""14.0"",""18.7"",""1.44"",""3.0"",""29"""
"NREL Neighborhood Refuse Truck Cycle,""30.55"",""5.69"",""60.00"",""11.17"",""21.52"",""1.36"",""1.08"",""60"""
"EPA Federal Test Procedure (FTP)-75 (Light-Duty),""31.28"",""11.04"",""56.7"",""21.2"",""26.2"",""1.14"",""1.09"",""22"""
"Orange County Transit Bus Cycle (US-OCTA) (California),""31.83"",""6.54"",""40.63"",""12.33"",""15.67"",""1.43"",""3.59"",""31"""
"NREL Utility Truck Cycle (California),""34.30"",""11.16"",""58.50"",""19.53"",""29.92"",""0.79"",""0.46"",""20"""
"CARB Heavy Heavy-Duty Diesel Truck (HHDDT) Cruise Segment,""34.73"",""23.07"",""59.30"",""39.86"",""43.22"",""0.27"",""0.12"",""6"""
"NREL Port Drayage Metro Highway Cycle (California),""52.83"",""26.66"",""64.17"",""30.28"",""41.23"",""0.50"",""0.24"",""7"""
"CARB Heavy Heavy-Duty Diesel Truck (HHDDT) Composite Cycle,""60.08"",""26.05"",""59.30"",""26.01"",""35.59"",""0.35"",""0.17"",""13"""
"NREL Class 3 Electric Vehicle Cycle,""61.62"",""6.53"",""48.73"",""6.36"",""19.42"",""1.43"",""1.56"",""32"""
"NREL Class 6 Electric Vehicle Cycle,""61.63"",""16.09"",""49.00"",""15.66"",""23.45"",""0.98"",""1.06"",""26"""
"NREL Parcel Delivery Truck Cycle (Baltimore),""64.23"",""20.46"",""61.70"",""19.11"",""23.37"",""1.53"",""1.33"",""41"""
"NREL Port Drayage Composite Cycle (California),""119.95"",""35.21"",""64.17"",""17.61"",""33.34"",""0.60"",""0.32"",""27"""
"Fleet DNA Local Delivery Maximum Power Weighted Work*,""264.6"",""156.4"",""68.07"",""35.46"",""41.85"",""0.47"",""0.26"",""19"""
"Fleet DNA Long-Haul Maximum Power Weighted Work*,""265.1"",""200.6"",""70.8"",""45.39"",""55.08"",""0.26"",""0.09"",""50"""
"Fleet DNA Long-Haul Minimum MPG*,""265.1"",""200.6"",""70.8"",""45.39"",""55.08"",""0.26"",""0.09"",""50"""
"Fleet DNA Local Delivery Representative*,""300"",""116"",""68.84"",""23.2"",""33.56"",""0.76"",""0.33"",""109"""
"Fleet DNA Local Delivery Maximum High Speed*,""302.8"",""273"",""74.79"",""54.09"",""64.79"",""0.3"",""0.08"",""20"""
"Fleet DNA Transit Bus Minimum MPG*,""456.8"",""54.2"",""62.87"",""7.12"",""14.34"",""1.42"",""2.48"",""359"""
"Fleet DNA Drayage Representative*,""516"",""96.9"",""62.57"",""16.65"",""27.33"",""0.89"",""0.54"",""176"""
"Fleet DNA Regional-Haul Minimum MPG*,""584.4"",""412.9"",""73.2"",""42.39"",""55.85"",""0.25"",""0.08"",""66"""
"Fleet DNA Regional-Haul Representative*,""596.7"",""430.8"",""69.51"",""43.32"",""50.71"",""0.34"",""0.12"",""87"""
"Fleet DNA Transit Bus Maximum High Speed*,""622.8"",""204.4"",""66.65"",""19.69"",""28.33"",""1.02"",""0.63"",""361"""
"Fleet DNA Transit Bus Maximum Power Weighted Work*,""622.8"",""204.4"",""66.65"",""19.69"",""28.33"",""1.02"",""0.63"",""361"""
"Fleet DNA Drayage Minimum MPG*,""658.1"",""54.4"",""46.28"",""4.96"",""13.52"",""0.8"",""1.47"",""269"""
"Fleet DNA Regional-Haul Maximum High Speed*,""740.9"",""687.4"",""76.87"",""60.06"",""62.78"",""0.18"",""0.05"",""30"""
"Fleet DNA Local Delivery Maximum Energy*,""763.8"",""657.5"",""73.28"",""51.65"",""61.28"",""0.25"",""0.07"",""52"""
"Fleet DNA Local Delivery Maximum Trip Distance*,""763.8"",""657.5"",""73.28"",""51.65"",""61.28"",""0.25"",""0.07"",""52"""
"Fleet DNA Regional-Haul Maximum Power*,""856"",""574.7"",""80.78"",""40.29"",""52.91"",""0.35"",""0.11"",""118"""
"Fleet DNA Drayage Maximum Power Weighted Work*,""857.3"",""314.8"",""70.66"",""34.31"",""48.64"",""0.36"",""0.14"",""87"""
"Fleet DNA Local Delivery Minimum MPG*,""908.5"",""48.9"",""53.81"",""3.23"",""15.12"",""0.67"",""1.1"",""184"""
"Fleet DNA Transit Bus Representative*,""964.5"",""189.7"",""65.22"",""11.8"",""19.17"",""1.21"",""1.61"",""655"""
"Fleet DNA Transit Bus Maximum Trip Distance*,""1022.1"",""254.4"",""66.22"",""14.93"",""23.14"",""1.25"",""0.97"",""645"""
"Fleet DNA Drayage Maximum High Speed*,""1025.6"",""354.7"",""64.15"",""34.51"",""49.8"",""0.35"",""0.13"",""139"""
"Fleet DNA Transit Bus Maximum Energy*,""1116"",""211.8"",""65.65"",""11.39"",""17.87"",""1.52"",""2.26"",""876"""
"Fleet DNA Long-Haul Representative*,""1183.7"",""938.5"",""72.49"",""47.57"",""60.7"",""0.21"",""0.06"",""47"""
"Fleet DNA Regional-Haul Maximum Trip Distance*,""1219"",""885.9"",""76.15"",""43.6"",""52.86"",""0.43"",""0.14"",""216"""
"Fleet DNA Regional-Haul Maximum Energy*,""1255"",""883.5"",""74.25"",""42.24"",""56.21"",""0.26"",""0.08"",""145"""
"Fleet DNA Drayage Maximum Trip Distance*,""1277.2"",""619.7"",""71.88"",""41.3"",""47.58"",""0.45"",""0.18"",""158"""
"Fleet DNA Long-Haul Maximum High Speed*,""1324"",""1265.6"",""74.37"",""57.36"",""62.29"",""0.2"",""0.06"",""43"""
"Fleet DNA Long-Haul Maximum Energy*,""1418.4"",""1335.9"",""74.76"",""56.51"",""63.47"",""0.23"",""0.07"",""28"""
"Fleet DNA Drayage Maximum Energy*,""1431.4"",""376.3"",""65.84"",""16.31"",""32.79"",""0.53"",""0.28"",""422"""
"Fleet DNA Long-Haul Maximum Trip Distance*,""1438.4"",""1393.7"",""76.66"",""58.13"",""64.65"",""0.25"",""0.07"",""27"""
